goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,46,42,4,91.3
goal_02,46,32,14,69.6
goal_03,46,31,14,67.4
goal_04,34,23,11,67.6
goal_05,38,26,12,68.4
goal_06,44,37,7,84.1
goal_07,41,32,9,78.0
goal_08,38,28,10,73.7
goal_09,44,33,10,75.0
goal_10,48,29,19,60.4
goal_11,34,24,10,70.6
goal_12,48,35,13,72.9
goal_13,44,32,12,72.7
goal_14,49,37,12,75.5
goal_15,48,38,9,79.2
goal_16,51,42,9,82.4
goal_17,39,30,9,76.9
goal_18,40,31,9,77.5
goal_19,43,35,8,81.4
goal_20,52,39,11,75.0
goal_21,43,35,8,81.4
goal_22,40,29,11,72.5
goal_23,38,32,6,84.2
goal_24,37,29,8,78.4
goal_25,45,33,12,73.3
goal_26,52,37,15,71.2
goal_27,52,41,11,78.8
goal_28,37,28,9,75.7
