goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,48,20,21,41.7
goal_02,53,27,21,50.9
goal_03,51,28,15,54.9
goal_04,56,25,22,44.6
goal_05,54,22,21,40.7
goal_06,47,22,22,46.8
goal_07,53,21,22,39.6
goal_08,47,24,18,51.1
goal_09,58,27,23,46.6
goal_10,68,33,24,48.5
goal_11,54,20,25,37.0
goal_12,58,24,26,41.4
goal_13,41,17,15,41.5
goal_14,38,13,21,34.2
goal_15,50,16,23,32.0
goal_16,50,23,21,46.0
goal_17,60,24,29,40.0
goal_18,56,25,18,44.6
goal_19,53,20,25,37.7
goal_20,40,17,18,42.5
goal_21,56,26,22,46.4
goal_22,54,25,22,46.3
goal_23,49,23,18,46.9
goal_24,45,20,17,44.4
goal_25,49,20,24,40.8
goal_26,44,17,19,38.6
goal_27,48,17,19,35.4
goal_28,48,19,21,39.6
