goal_id,intentos,exitos,colisiones,llego_estanteria,tasa_exito_%,tasa_estanteria_%
goal_01,18,12,6,18,66.7,100.0
goal_02,35,27,8,35,77.1,100.0
goal_03,34,30,4,34,88.2,100.0
goal_04,38,32,6,38,84.2,100.0
goal_05,28,21,6,28,75.0,100.0
goal_06,27,17,10,27,63.0,100.0
goal_07,24,19,5,24,79.2,100.0
goal_08,24,16,8,24,66.7,100.0
goal_09,19,18,1,19,94.7,100.0
goal_10,25,19,5,25,76.0,100.0
goal_11,30,20,10,30,66.7,100.0
goal_12,25,17,8,25,68.0,100.0
goal_13,26,14,12,26,53.8,100.0
goal_14,24,19,5,24,79.2,100.0
goal_15,34,27,6,34,79.4,100.0
goal_16,34,27,7,34,79.4,100.0
goal_17,27,20,7,27,74.1,100.0
goal_18,16,11,5,16,68.8,100.0
goal_19,30,23,7,30,76.7,100.0
goal_20,19,13,6,19,68.4,100.0
goal_21,35,32,3,35,91.4,100.0
goal_22,26,21,5,26,80.8,100.0
goal_23,29,25,4,29,86.2,100.0
goal_24,34,22,12,34,64.7,100.0
goal_25,28,19,9,28,67.9,100.0
goal_26,25,22,3,25,88.0,100.0
goal_27,33,27,6,33,81.8,100.0
goal_28,28,20,8,28,71.4,100.0
