goal_id,intentos,exitos,colisiones,tasa_exito_%
goal_01,79,77,1,97.5
goal_02,62,58,4,93.5
goal_03,57,54,0,94.7
goal_04,81,80,0,98.8
goal_05,85,82,1,96.5
goal_06,90,87,2,96.7
goal_07,87,81,3,93.1
goal_08,75,70,4,93.3
goal_09,79,77,0,97.5
goal_10,69,67,2,97.1
goal_11,85,83,0,97.6
goal_12,69,66,3,95.7
goal_13,70,69,1,98.6
goal_14,65,63,2,96.9
goal_15,64,60,3,93.8
goal_16,82,77,3,93.9
goal_17,68,67,1,98.5
goal_18,102,100,0,98.0
goal_19,98,94,3,95.9
goal_20,58,56,1,96.6
goal_21,72,67,3,93.1
goal_22,79,77,1,97.5
goal_23,66,60,2,90.9
goal_24,82,75,3,91.5
goal_25,84,82,1,97.6
goal_26,68,68,0,100.0
goal_27,62,62,0,100.0
goal_28,78,72,2,92.3
